Region_code,Region_label,Urban_code,Urban_label,UrbanType,Area_code,Area_label,Population,Victimisations,Rate
1,Northland,1,Whangarei,Main,502004,Abbey Caves,710,1,0.3
14,Otago,23,Dunedin,Main,605910,Abbotsford,1840,6,0.6
2,Auckland,4,Central Auckland Zone,Main,516003,Abbotts Park,4640,15,0.6
3,Waikato,103,Taupo,Secondary,541311,Acacia Bay,1550,1,0.1
13,Canterbury,22,Christchurch,Main,594700,Addington,4040,33,1.6
9,Wellington,20,Wellington Zone,Main,576500,Adelaide,1100,41,7.1
9,Wellington,19,Porirua Zone,Main,565604,Adventure,1430,0,
12,WestCoast,502,Rural (Incl.some Off Shore Islands),Rural,584938,Ahaura,340,2,1.1
1,Northland,501,Rural Centre,Rural,500205,Ahipara,1150,6,1
6,Hawke'sBay,12,Napier Zone,Main,546200,Ahuriri,1080,15,2.7
13,Canterbury,22,Christchurch,Main,587845,Aidanfield,3370,4,0.2
2,Auckland,502,Rural (Incl.some Off Shore Islands),Rural,616400,Aiguilles Island,0,0,
2,Auckland,4,Central Auckland Zone,Main,518803,Akarana,6360,33,1
13,Canterbury,501,Rural Centre,Rural,596800,Akaroa,620,0,
13,Canterbury,502,Rural (Incl.some Off Shore Islands),Rural,596901,Akaroa Harbour,840,3,0.7
9,Wellington,17,Upper Hutt Zone,Main,566610,Akatarawa,610,1,0.3
6,Hawke'sBay,13,Hastings Zone,Main,548300,Akina,4720,33,1.3
2,Auckland,2,Northern Auckland Zone,Main,508701,Albany,3710,47,2.4
14,Otago,291,Alexandra,Minor,608500,Alexandra,5190,27,1
2,Auckland,212,Snells Beach,Minor,506633,Algies Bay,750,0,
9,Wellington,18,Lower Hutt Zone,Main,569202,Alicetown,2050,6,0.6
4,BayofPlenty,104,Whakatane,Secondary,542440,Allandale-Mokorua,4020,28,1.3
3,Waikato,8,Te Awamutu Zone,Main,527937,Allen Road,210,0,
13,Canterbury,112,Ashburton,Secondary,597812,Allenton East,4360,16,0.7
13,Canterbury,112,Ashburton,Secondary,597811,Allenton West,2170,3,0.3
13,Canterbury,307,Amberley,Minor,585802,Amberley,1760,3,0.3
2,Auckland,5,Southern Auckland Zone,Main,524001,Ambury,3500,8,0.4
